   1813 [2022-05-30 17:05:14]  109Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				1.0.0.1		192.168.43.233 		   53	 51241  		DNS响应 Host Address  域名public.dns.iij.jp的IP地址是103.2.57.5
   1813 [2022-05-30 17:05:14]  109Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				1.0.0.1		192.168.43.233 		   53	 51241  		DNS响应 Host Address  域名public.dns.iij.jp的IP地址是103.2.57.6
   2253 [2022-05-30 17:05:17]  78Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		49641	 53  		DNS请求 Host Address  查询www.icourse163.org的地址
   2264 [2022-05-30 17:05:17]  94Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 49641  		DNS响应 Host Address  域名www.icourse163.org的IP地址是223.252.199.73
   2278 [2022-05-30 17:05:17]  78Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		59381	 53  		DNS请求 Host Address  查询www.icourse163.org的地址
   2279 [2022-05-30 17:05:17]  78Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		61339	 53  		DNS请求 null  查询www.icourse163.org的地址
   2281 [2022-05-30 17:05:17]  94Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 59381  		DNS响应 Host Address  域名www.icourse163.org的IP地址是223.252.199.73
   2324 [2022-05-30 17:05:18]  69Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		60024	 53  		DNS请求 Host Address  查询ic.wps.cn的地址
   2325 [2022-05-30 17:05:18]  69Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		56298	 53  		DNS请求 null  查询ic.wps.cn的地址
   2359 [2022-05-30 17:05:18]  85Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 60024  		DNS响应 Host Address  域名ic.wps.cn的IP地址是110.43.89.215
   2369 [2022-05-30 17:05:18]  74Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		61649	 53  		DNS请求 Host Address  查询icourse163.org的地址
   2370 [2022-05-30 17:05:18]  83Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		53241	 53  		DNS请求 Host Address  查询js.passport.qihucdn.com的地址
   2371 [2022-05-30 17:05:18]  74Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		49395	 53  		DNS请求 Host Address  查询mc.stu.126.net的地址
   2376 [2022-05-30 17:05:18]  79Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		59633	 53  		DNS请求 Host Address  查询api.share.baidu.com的地址
   2377 [2022-05-30 17:05:18]  74Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		57144	 53  		DNS请求 null  查询mc.stu.126.net的地址
   2390 [2022-05-30 17:05:18]  79Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		60505	 53  		DNS请求 null  查询api.share.baidu.com的地址
   2452 [2022-05-30 17:05:18]  90Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		54879	 53  		DNS请求 Host Address  查询hubble-js-bucket.nosdn.127.net的地址
   2459 [2022-05-30 17:05:18]  81Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		56435	 53  		DNS请求 Host Address  查询edu-cms.nosdn.127.net的地址
   2478 [2022-05-30 17:05:18]  90Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 61649  		DNS响应 Host Address  域名icourse163.org的IP地址是223.252.199.73
   2479 [2022-05-30 17:05:18]  174Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 53241  		DNS响应 CNAME 域名js.passport.qihucdn.com的CNAME是js.passport.qihucdn.com.qh-cdn.com
   2479 [2022-05-30 17:05:18]  174Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 53241  		DNS响应 CNAME 域名js.passport.qihucdn.com.qh-cdn.com的CNAME是webcdn.360qhcdn.com
   2479 [2022-05-30 17:05:18]  174Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 53241  		DNS响应 Host Address  域名webcdn.360qhcdn.com的IP地址是171.13.14.68
   2480 [2022-05-30 17:05:18]  282Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 49395  		DNS响应 CNAME 域名mc.stu.126.net的CNAME是mc.stu.126.net.163jiasu.com
